,group,names,scores,logfoldchanges,pvals,pvals_adj
4234,untreated,AARD,18.449465,2.2709882,5.266336488166977e-76,2.3361559792701925e-74
4235,untreated,DTD,18.449398,1.6361644,5.272909174240456e-76,2.3361559792701925e-74
4236,untreated,HAGHL,18.39055,3.6254644,1.563837499418552e-75,6.8865716792576965e-74
4237,untreated,ME2,18.350105,2.3882737,3.294715182185045e-75,1.4464894570245642e-73
4238,untreated,KLHDC2,18.34869,1.9534123,3.38167577263358e-75,1.475751120958294e-73
4239,untreated,CERS2,18.347206,1.8703972,3.475232703388507e-75,1.5120383726240055e-73
4240,untreated,RPL23A,18.319773,0.40393147,5.755362935521075e-75,2.4966249008654405e-73
4241,untreated,ARGLU,18.297258,1.4649585,8.7020590307578e-75,3.763640530802749e-73
4242,untreated,BAG6,18.293684,1.6487436,9.291657733619036e-75,4.006717216170678e-73
4243,untreated,DAPK3,18.290854,4.1528034,9.787039580030072e-75,4.207847904644882e-73
4244,untreated,PTPLA,18.28782,4.6147904,1.0347059101445353e-74,4.435500379416043e-73
4245,untreated,PODXL2,18.252565,6.032569,1.9741606038341455e-74,8.437794674975824e-73
4246,untreated,TMEM70,18.247644,2.9229352,2.160234191116119e-74,9.206018552873736e-73
4247,untreated,COMMD7,18.225603,2.5543334,3.2329646165171127e-74,1.373726368632359e-72
4248,untreated,HIST2H2BE,18.196346,1.9415199,5.516605258171856e-74,2.3372392889724025e-72
4249,untreated,VGLL4,18.189674,1.8566961,6.2310013268798316e-74,2.632235793087724e-72
4250,untreated,MDH,18.18428,1.7369863,6.875113386733456e-74,2.895917325681466e-72
4251,untreated,TMSB4X,18.179293,1.2555015,7.529853451615705e-74,3.1443629413471097e-72
4252,untreated,RWDD4,18.167227,2.6787663,9.38221491244791e-74,3.895495631648372e-72
4253,untreated,TMEM183A,18.167227,1.9133587,9.38221491244791e-74,3.895495631648372e-72
4254,untreated,EEF1G,18.11222,1.7975575,2.552375391571717e-73,1.0567270424592648e-71
4255,untreated,AC023490.,18.109053,7.483631,2.7035786687758534e-73,1.115714796650077e-71
4256,untreated,GIPC,18.10892,1.9094768,2.7102072888623533e-73,1.115714796650077e-71
